Reference,Species,Average mass (kg),Location,sample size,estimated dead,estimated survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,survival estimate type,death type,notes
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",20,3,17,0.87,0.01,,,,adult and subadult,,3,apparent,indirect,
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",15,2,13,0.87,0.02,,,,adult and subadult,,3,apparent,indirect,
Glenn et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",16,2,14,0.81,0.03,,,,adult and subadult,,3,apparent,indirect,
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",105,14,91,0.87,,,,male,second year and older,2004-2009,3,apparent,indirect,
Ganey et al. (2014),Spotted Owl Strix occidentalis,0.5,"New Mexico, USA",99,11,88,0.89,,,,female,second year and older,2004-2009,3,apparent,indirect,
Tempel et al. (2014),Spotted Owl Strix occidentalis,0.5,"California, USA",229,39,190,0.828,,0.801,0.854,,second year and over,,6,TRUE,direct,
Pavon-Jordan et al. (2013),Ural Owl Strix uralensis,0.25,southern Finland,398,80,318,0.8,0.016,,,female,adult,,3,apparent,indirect,before 1 year sexual maturity
Schaub et al. (2006),Little Owl Athene noctua,0.26,"Basel, Switzerland",92,36,56,0.61,0.042,,,,adult,,3,apparent,indirect,most were females
Schaub et al. (2006),Little Owl Athene noctua,0.26,"Goppingen, Switzerland",73,25,48,0.659,0.051,,,,adult,,3,apparent,indirect,most were females
Schaub et al. (2006),Little Owl Athene noctua,0.26,"Geneve, Switzerland",52,16,36,0.687,0.068,,,,adult,,3,apparent,indirect,before 1 year sexual maturity
Schaub et al. (2006),Little Owl Athene noctua,0.26,"Frederichschafen, Switzerland",26,9,17,0.674,0.026,,,,adult,,3,apparent,indirect,
Le Gouar et al. (2011),Little Owl Athene noctua,0.26,Netherlands,4207,1039,3168,0.753,0.019,,,,adult,,3,apparent,indirect,
Thorup et al. (2013),Little Owl Athene noctua,0.26,Denmark,29,1,28,0.98,,0.96,0.99,,adult,,5,unknown true,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",36,7,29,0.81,0.04,,,male,adult,>60 % devt,3,apparent,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",46,14,32,0.69,0.04,,,female,adult,>60 % devt,3,apparent,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",35,13,22,0.62,0.05,,,male,adult,20-39% devt,3,apparent,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",35,13,22,0.62,0.05,,,male,adult,40-60% devt,3,apparent,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",38,12,26,0.69,0.04,,,female,adult,20-39% devt,3,apparent,indirect,
Millsap (2002),Burrowing Owl Athene cunicularia,0.15,"Florida, USA",48,23,25,0.52,0.06,,,female,adult,40-60% devt,3,apparent,indirect,
Barclay et al. (2011),Burrowing Owl Athene cunicularia,0.15,"California, USA",342,156,186,0.545,,0.479,0.61,,adult,1996-2007,4,TRUE,direct,
Wellicome et al. (2014),Burrowing Owl Athene cunicularia,0.15,South-Central Canada,332,186,146,0.44,0.05,,,male,adult,,3,apparent,indirect,
Wellicome et al. (2014),Burrowing Owl Athene cunicularia,0.15,South-Central Canada,407,322,85,0.21,0.03,,,female,adult,,3,apparent,indirect,
Hayward et al. (1993),Boreal Owl Aegolius funereus,0.12,"Idaho, USA",24,6,18,0.46,,0.23,0.91,,adult,,5,unknown true,indirect,
