Order,Family,Scientific,English,Mass
Accipitriformes,Accipitridae,Ictinia plumbea,Plumbeous Kite,249.9
Accipitriformes,Accipitridae,Milvus milvus,Red Kite,1071.77
Accipitriformes,Accipitridae,Milvus migrans,Black Kite,734.1
Accipitriformes,Accipitridae,Haliastur sphenurus,Whistling Kite,752.99
Accipitriformes,Accipitridae,Haliastur indus,Brahminy Kite,529
Accipitriformes,Accipitridae,Haliaeetus leucogaster,White-bellied Sea-eagle,2827.01
Accipitriformes,Accipitridae,Haliaeetus sanfordi,Sanford's Sea-eagle,1980
Accipitriformes,Accipitridae,Haliaeetus vocifer,African Fish-eagle,3400
Accipitriformes,Accipitridae,Haliaeetus vociferoides,Madagascar Fish-eagle,3000
Accipitriformes,Accipitridae,Haliaeetus leucoryphus,Pallas's Fish-eagle,2885.92
Accipitriformes,Accipitridae,Haliaeetus albicilla,White-tailed Eagle,4729.27
Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,4700.58
Accipitriformes,Accipitridae,Haliaeetus pelagicus,Steller's Sea-eagle,7756.99
Accipitriformes,Accipitridae,Ichthyophaga humilis,Lesser Fish-eagle,782
Accipitriformes,Accipitridae,Ichthyophaga ichthyaetus,Grey-headed Fish-eagle,1590
Accipitriformes,Accipitridae,Gypohierax angolensis,Palm-nut Vulture,1600
Accipitriformes,Accipitridae,Gypaetus barbatus,Lammergeier,5694.98
Accipitriformes,Accipitridae,Neophron percnopterus,Egyptian Vulture,2082
Accipitriformes,Accipitridae,Necrosyrtes monachus,Hooded Vulture,2043
Accipitriformes,Accipitridae,Gyps africanus,White-backed Vulture,5432.99
Accipitriformes,Accipitridae,Gyps bengalensis,White-rumped Vulture,4385
Accipitriformes,Accipitridae,Gyps indicus,Indian Vulture,5515
Accipitriformes,Accipitridae,Gyps rueppellii,Rueppell's Vulture,7399.99
Accipitriformes,Accipitridae,Gyps himalayensis,Himalayan Vulture,9797.95
Accipitriformes,Accipitridae,Gyps fulvus,Griffon Vulture,7435.99
Accipitriformes,Accipitridae,Gyps coprotheres,Cape Vulture,8176.99
Accipitriformes,Accipitridae,Aegypius monachus,Cinereous Vulture,9320.55
Accipitriformes,Accipitridae,Torgos tracheliotos,Lappet-faced Vulture,6969
Accipitriformes,Accipitridae,Trigonoceps occipitalis,White-headed Vulture,3016
Accipitriformes,Accipitridae,Sarcogyps calvus,Red-headed Vulture,4469.89
Accipitriformes,Accipitridae,Circaetus gallicus,Short-toed Snake-eagle,1699.12
Accipitriformes,Accipitridae,Circaetus pectoralis,Black-chested Snake-eagle,1500
